No.;Time;;;;;time 2;time 1;delay;;delay 2;delay 1;jitter
107;3,484815;3,484815;;;;3,484917;3,484815;0,000102;;0,000912;0,000102;0,00081
108;3,484917;3,484917;;;;3,485829;3,484917;0,000912;;0,04564;0,000912;0,044728
109;3,485829;3,485829;;;;3,531469;3,485829;0,04564;;0,055119;0,04564;0,009479
116;3,531469;3,531469;;;;3,586588;3,531469;0,055119;;0,000727;0,055119;-0,054392
119;3,586588;3,586588;;;;3,587315;3,586588;0,000727;;0,046562;0,000727;0,045835
120;3,587315;3,587315;;;;3,633877;3,587315;0,046562;;0,007959;0,046562;-0,038603
128;3,633877;3,633877;;;;3,641836;3,633877;0,007959;;0,045914;0,007959;0,037955
129;3,641836;3,641836;;;;3,68775;3,641836;0,045914;;0,000296;0,045914;-0,045618
133;3,68775;3,68775;;;;3,688046;3,68775;0,000296;;0,05786;0,000296;0,057564
134;3,688046;3,688046;;;;3,745906;3,688046;0,05786;;0,000147;0,05786;-0,057713
137;3,745906;3,745906;;;;3,746053;3,745906;0,000147;;0,000266;0,000147;0,000119
138;3,746053;3,746053;;;;3,746319;3,746053;0,000266;;0,000306;0,000266;4E-05
139;3,746319;3,746319;;;;3,746625;3,746319;0,000306;;0,047457;0,000306;0,047151
140;3,746625;3,746625;;;;3,794082;3,746625;0,047457;;8,3E-05;0,047457;-0,047374
141;3,794082;3,794082;;;;3,794165;3,794082;8,3E-05;;0,000199;8,3E-05;0,000116
142;3,794165;3,794165;;;;3,794364;3,794165;0,000199;;0,001382;0,000199;0,001183
143;3,794364;3,794364;;;;3,795746;3,794364;0,001382;;8,7E-05;0,001382;-0,001295
144;3,795746;3,795746;;;;3,795833;3,795746;8,7E-05;;0,001077;8,7E-05;0,00099
145;3,795833;3,795833;;;;3,79691;3,795833;0,001077;;0,002137;0,001077;0,00106
146;3,79691;3,79691;;;;3,799047;3,79691;0,002137;;6,3E-05;0,002137;-0,002074
147;3,799047;3,799047;;;;3,79911;3,799047;6,3E-05;;0,001206;6,3E-05;0,001143
148;3,79911;3,79911;;;;3,800316;3,79911;0,001206;;0,000878;0,001206;-0,000328
149;3,800316;3,800316;;;;3,801194;3,800316;0,000878;;5,3E-05;0,000878;-0,000825
150;3,801194;3,801194;;;;3,801247;3,801194;5,3E-05;;0,000876;5,3E-05;0,000823
151;3,801247;3,801247;;;;3,802123;3,801247;0,000876;;0;0,000876;-0,000876
152;3,802123;3,802123;;;;3,802123;3,802123;0;;5,2E-05;0;5,2E-05
153;3,802123;3,802123;;;;3,802175;3,802123;5,2E-05;;0,006861;5,2E-05;0,006809
154;3,802175;3,802175;;;;3,809036;3,802175;0,006861;;0,000879;0,006861;-0,005982
155;3,809036;3,809036;;;;3,809915;3,809036;0,000879;;0;0,000879;-0,000879
156;3,809915;3,809915;;;;3,809915;3,809915;0;;0,000175;0;0,000175
157;3,809915;3,809915;;;;3,81009;3,809915;0,000175;;0,001327;0,000175;0,001152
158;3,81009;3,81009;;;;3,811417;3,81009;0,001327;;6,4E-05;0,001327;-0,001263
159;3,811417;3,811417;;;;3,811481;3,811417;6,4E-05;;0,000483;6,4E-05;0,000419
160;3,811481;3,811481;;;;3,811964;3,811481;0,000483;;0;0,000483;-0,000483
161;3,811964;3,811964;;;;3,811964;3,811964;0;;8,9E-05;0;8,9E-05
162;3,811964;3,811964;;;;3,812053;3,811964;8,9E-05;;0,001131;8,9E-05;0,001042
163;3,812053;3,812053;;;;3,813184;3,812053;0,001131;;0;0,001131;-0,001131
164;3,813184;3,813184;;;;3,813184;3,813184;0;;0,00382;0;0,00382
165;3,813184;3,813184;;;;3,817004;3,813184;0,00382;;0,010394;0,00382;0,006574
171;3,817004;3,817004;;;;3,827398;3,817004;0,010394;;0,000176;0,010394;-0,010218
173;3,827398;3,827398;;;;3,827574;3,827398;0,000176;;0,007314;0,000176;0,007138
174;3,827574;3,827574;;;;3,834888;3,827574;0,007314;;0,02352;0,007314;0,016206
175;3,834888;3,834888;;;;3,858408;3,834888;0,02352;;0,030798;0,02352;0,007278
178;3,858408;3,858408;;;;3,889206;3,858408;0,030798;;0,003579;0,030798;-0,027219
179;3,889206;3,889206;;;;3,892785;3,889206;0,003579;;0;0,003579;-0,003579
180;3,892785;3,892785;;;;3,892785;3,892785;0;;0,000113;0;0,000113
181;3,892785;3,892785;;;;3,892898;3,892785;0,000113;;0,00035;0,000113;0,000237
182;3,892898;3,892898;;;;3,893248;3,892898;0,00035;;0,005642;0,00035;0,005292
183;3,893248;3,893248;;;;3,89889;3,893248;0,005642;;8,1E-05;0,005642;-0,005561
184;3,89889;3,89889;;;;3,898971;3,89889;8,1E-05;;0,000776;8,1E-05;0,000695
185;3,898971;3,898971;;;;3,899747;3,898971;0,000776;;0,000963;0,000776;0,000187
186;3,899747;3,899747;;;;3,90071;3,899747;0,000963;;5,8E-05;0,000963;-0,000905
